00_method_chain,01_time_s,02_1f_evolved_av_next,03_1f_measured_av,04_1f_evolved_av_next_residual,05_1f_p_hit_pred,06_1f_signed_p_hit_pred,07_1f_w_hit_norm,08_1f_hit_work_capacity_norm,09_1f_displacement_side_work_norm,10_1f_work_capacity_margin_norm,11_1f_pos_hit_work_norm,12_1f_neg_hit_work_norm,13_1f_disp_env_norm,14_1f_hidden_work_proxy,15_1f_a_times_v_measured,16_1f_abs_a_times_v_measured,17_1f_u_measured,18_1f_measured_signed_work,19_2f_evolved_av_next,20_2f_measured_av,21_2f_evolved_av_next_residual,22_2f_p_hit_pred,23_2f_signed_p_hit_pred,24_2f_w_hit_norm,25_2f_hit_work_capacity_norm,26_2f_displacement_side_work_norm,27_2f_work_capacity_margin_norm,28_2f_pos_hit_work_norm,29_2f_neg_hit_work_norm,30_2f_disp_env_norm,31_2f_hidden_work_proxy,32_2f_a_times_v_measured,33_2f_abs_a_times_v_measured,34_2f_u_measured,35_2f_measured_signed_work,36_3f_evolved_av_next,37_3f_measured_av,38_3f_evolved_av_next_residual,39_3f_p_hit_pred,40_3f_signed_p_hit_pred,41_3f_w_hit_norm,42_3f_hit_work_capacity_norm,43_3f_displacement_side_work_norm,44_3f_work_capacity_margin_norm,45_3f_pos_hit_work_norm,46_3f_neg_hit_work_norm,47_3f_disp_env_norm,48_3f_hidden_work_proxy,49_3f_a_times_v_measured,50_3f_abs_a_times_v_measured,51_3f_u_measured,52_3f_measured_signed_work,53_path_w_1f_2f,54_path_w_2f_3f,55_state_fidelity_one_step,56_residual_norm
QSM-QTE-FATE,0.2636718530697357,1.6704615804649757e-05,5.9188321733272046e-05,4.2483705928622286e-05,1.6704615804649757e-05,1.6704615804649757e-05,4.513642620536417e-06,4.513642620538408e-06,2.829129094523533e-06,1.6845135260148759e-06,8.92270335929092e-06,2.742185996196735e-07,0.0008487473829039137,0.9991512526170961,5.9188321733272046e-05,5.9188321733272046e-05,5.0192265485e-06,2.2566692623848843e-07,-1.9450649494508706e-06,2.8262699818239613e-06,4.771334931274832e-06,1.9450649494508706e-06,-1.9450649494508706e-06,6.349659506794935e-07,6.349659506797839e-07,7.298696385473687e-08,5.619789868250469e-07,0.0,1.283734119357614e-06,0.00018162622300588868,0.9998183737769941,2.8262699818239613e-06,2.8262699818239613e-06,-1.33381014e-08,1.2725410269545387e-08,3.7836400272664513e-07,-1.717066188038082e-07,-5.500706215304533e-07,3.7836400272664513e-07,3.7836400272664513e-07,1.3100694286396874e-07,1.3100694286402965e-07,1.1268883258082696e-08,1.1973805960594695e-07,2.4477950606101073e-07,9.002550678480652e-09,0.0001733321648916181,0.9998266678351084,-1.717066188038082e-07,1.717066188038082e-07,2.4430917753e-06,-1.8230882309725813e-09,1.0172677075321628,0.9827322924678374,0.8317830653629111,1.9295638160756026
QSM-QTE-FATE,0.2880859365601315,2.3100272538524357e-05,6.846054480466826e-05,4.53602722661439e-05,2.3100272538524357e-05,2.3100272538524357e-05,4.8137556918046236e-06,4.813755691806747e-06,3.095305186915218e-06,1.7184505048915295e-06,9.546342465804248e-06,2.742185996196735e-07,0.000814904875630687,0.9991850951243693,6.846054480466826e-05,6.846054480466826e-05,-4.0185333229e-06,3.224002362751921e-07,-1.354835964596177e-05,1.2076274098006555e-06,1.4755987055762425e-05,1.354835964596177e-05,-1.354835964596177e-05,7.922342598358884e-07,7.922342598362505e-07,8.27570772834854e-08,7.094771825527651e-07,0.0,1.6266965909127504e-06,0.00017438415440350295,0.9998256158455965,1.2076274098006555e-06,1.2076274098006555e-06,3.1403260486e-06,-1.0680435937427193e-09,2.036903555300133e-06,4.423142404530507e-08,-1.9926721312548275e-06,2.036903555300133e-06,2.036903555300133e-06,1.5682790156124656e-07,1.568279015613195e-07,1.1563211422769197e-08,1.452646901385503e-07,2.9812814596578636e-07,9.002550678480652e-09,0.00016642080920536113,0.9998335791907946,4.423142404530507e-08,4.423142404530507e-08,2.9639159656e-06,-1.9824588588490043e-09,1.0188998839956975,0.9811001160043027,0.6362881119238978,1.1257873284124205
QSM-QTE-FATE,0.3124999799494727,3.2113532473743783e-05,5.470288344402159e-05,2.2589350970277807e-05,3.2113532473743783e-05,3.2113532473743783e-05,5.178119099813283e-06,5.178119099815568e-06,3.3476353003159506e-06,1.8304837994996176e-06,1.0306225603060667e-05,2.742185996196735e-07,0.0007824117867139797,0.999217588213286,5.470288344402159e-05,5.470288344402159e-05,4.3759038689e-06,2.8628378399622e-07,-9.025238970335105e-06,8.189268006106921e-07,9.844165770945798e-06,9.025238970335105e-06,-9.025238970335105e-06,8.96023765868979e-07,8.960237658693887e-07,8.729764009330293e-08,8.087261257760858e-07,0.0,1.8256463245552744e-06,0.000167430852240091,0.9998325691477599,8.189268006106921e-07,8.189268006106921e-07,2.1133787725e-06,1.0159707308461461e-09,1.7007451498936518e-06,2.81666047344992e-08,-1.6725785451591527e-06,1.7007451498936518e-06,1.7007451498936518e-06,1.7489517605254075e-07,1.7489517605262204e-07,1.1777413171025198e-08,1.6311776288159684e-07,3.321867434562125e-07,9.002550678480652e-09,0.0001597850332849937,0.999840214966715,2.81666047344992e-08,2.81666047344992e-08,3.4411696647e-06,-2.473735746301164e-09,1.0204994838248505,0.9795005161751493,0.6965040585144231,1.9007153599362545
QSM-QTE-FATE,0.3417968480571039,2.6476497175388e-05,-4.002227119961158e-05,-6.649876837499957e-05,2.6476497175388e-05,2.6476497175388e-05,5.427778174891894e-06,5.427778174894289e-06,3.637239768193289e-06,1.7905384067009996e-06,1.0801050058752887e-05,2.742185996196735e-07,0.0007451257054121509,0.9992548742945878,-4.002227119961158e-05,4.002227119961158e-05,2.180549379e-06,3.508261478405975e-07,-1.855580686595588e-05,-1.2454353233615339e-06,1.7310371542594344e-05,1.855580686595588e-05,-1.855580686595588e-05,1.1620933660369223e-06,1.1620933660374536e-06,9.58936090970631e-08,1.0661997569403904e-06,0.0,2.3831663486673504e-06,0.0001594518819905788,0.9998405481180094,-1.2454353233615339e-06,1.2454353233615339e-06,1.0366974568e-06,1.4260899662020641e-08,3.97965027732054e-06,7.175939314515977e-08,-3.9078908841753806e-06,3.97965027732054e-06,3.97965027732054e-06,2.2598351237467668e-07,2.2598351237478172e-07,1.1913012372278975e-08,2.1407050000250274e-07,4.3554957801357673e-07,9.002550678480652e-09,0.00015217042695742103,0.9998478295730425,7.175939314515977e-08,7.175939314515977e-08,3.0153320931e-06,-2.2901656444110752e-09,1.0218954748734457,0.9781045251265541,0.5416552856470668,1.056617874367708
QSM-QTE-FATE,0.3662109315474997,1.6043336386648295e-05,-5.137266412473785e-05,-6.741600051138615e-05,1.6043336386648295e-05,1.6043336386648295e-05,5.707414213039253e-06,5.707414213041771e-06,3.889837358053883e-06,1.8175768549878876e-06,1.134627755274051e-05,2.742185996196735e-07,0.000715414954471628,0.9992845850455284,-5.137266412473785e-05,5.137266412473785e-05,-3.056507414e-06,3.919103229635171e-07,-2.4870239129047185e-05,-8.936371980346404e-07,2.3976601931012543e-05,2.4870239129047185e-05,-2.4870239129047185e-05,1.3148670904333301e-06,1.3148670904339313e-06,1.0330434716104052e-07,1.2115627432728908e-06,0.0,2.7051806483828534e-06,0.00015309398141298526,0.9998469060185871,-8.936371980346404e-07,8.936371980346404e-07,8.336529676e-07,1.5747587988272397e-09,7.5762725668607e-06,6.797445500236261e-09,-7.569475121360464e-06,7.5762725668607e-06,7.5762725668607e-06,2.6890515883281116e-07,2.6890515883293615e-07,1.3595691254599834e-08,2.553094675783363e-07,5.260645710957466e-07,9.002550678480652e-09,0.0001461028632926509,0.9998538971367074,6.797445500236261e-09,6.797445500236261e-09,1.1140185632e-06,4.346100514634706e-09,1.023112847230247,0.9768871527697528,0.27871582690837543,1.7300799124514838
QSM-QTE-FATE,0.3955077996551309,4.137299500610696e-05,-4.691292886007405e-05,-8.828592386618101e-05,4.137299500610696e-05,4.137299500610696e-05,5.877803388890313e-06,5.8778033888929064e-06,4.220705417681708e-06,1.657097971211198e-06,1.1747816258583274e-05,2.742185996196735e-07,0.0007996292544932014,0.9992003707455068,-4.691292886007405e-05,4.691292886007405e-05,6.3407680243e-06,3.983991664173342e-08,-1.6907382947434975e-05,-2.1111336897773816e-06,1.4796249257657593e-05,1.6907382947434975e-05,-1.6907382947434975e-05,1.6631153850051042e-06,1.6631153850058647e-06,1.1360112707060022e-07,1.5495142579352644e-06,0.0,3.388943530655068e-06,0.0001457982392798571,0.9998542017607202,-2.1111336897773816e-06,2.1111336897773816e-06,-1.8715454607e-06,2.7088642689323364e-09,6.537295075549905e-06,1.0181685705294856e-07,-6.435478218496956e-06,6.537295075549905e-06,6.537295075549905e-06,3.806074401493164e-07,3.8060744014949326e-07,1.4750342455950194e-08,3.658570976935431e-07,7.389053561894476e-07,9.002550678480652e-09,0.00013914028510599174,0.999860859714894,1.0181685705294856e-07,1.0181685705294856e-07,-1.563861631e-06,4.962207061604776e-10,1.0236246404660156,0.9763753595339846,0.6012846981436674,0.8985127675281989
QSM-QTE-FATE,0.4199218430444721,5.1488292701085196e-06,-3.360213610607823e-05,-3.875096537618675e-05,5.1488292701085196e-06,5.1488292701085196e-06,6.111940831426349e-06,6.111940831429046e-06,4.467583006165847e-06,1.6443578252631995e-06,1.2144197819165099e-05,2.742185996196735e-07,0.0008250993050987265,0.9991749006949012,-3.360213610607823e-05,3.360213610607823e-05,-7.7998929262e-06,1.1934265091128186e-08,-4.39960519064569e-05,3.1132914958633373e-07,4.4307381056043234e-05,4.39960519064569e-05,-4.39960519064569e-05,1.8346306822966573e-06,1.8346306822974959e-06,1.1734447881996995e-07,1.717286203477526e-06,0.0,3.7954311428623454e-06,0.00013998475687903916,0.999860015243121,3.1132914958633373e-07,3.1132914958633373e-07,-1.2048778758e-06,-3.5420852027665463e-09,1.9469552271001767e-05,-2.3510037167701308e-07,-1.970465264267878e-05,1.9469552271001767e-05,1.9469552271001767e-05,4.575113227101896e-07,4.5751132271040225e-07,1.5604073250204353e-08,4.4190724946019797e-07,9.152598570639466e-07,9.002550678480652e-09,0.00014136807495536432,0.9998586319250446,-2.3510037167701308e-07,2.3510037167701308e-07,-3.5212564514e-06,-1.1010208516197518e-09,1.0238619291879816,0.9761380708120184,0.09994763731748561,1.5172010286988002
QSM-QTE-FATE,0.4443359265348679,4.316199235044687e-05,-1.2080428135076846e-05,-5.5242420485523717e-05,4.316199235044687e-05,4.316199235044687e-05,6.250301123219545e-06,6.250301123222302e-06,4.718033240091691e-06,1.5322678831306116e-06,1.2494813956341707e-05,2.8741014271690496e-07,0.0007921997288568531,0.9992078002711432,-1.2080428135076846e-05,1.2080428135076846e-05,6.2327938353e-06,-2.084531413587237e-08,-1.6758849376980575e-05,-5.709683042248636e-07,1.618788107275571e-05,1.6758849376980575e-05,-1.6758849376980575e-05,2.08234837019555e-06,2.0823483701965018e-06,1.2565538853301398e-07,1.9566929816634878e-06,0.0,4.233300730747048e-06,0.00022793464349825173,0.9997720653565018,-5.709683042248636e-07,5.709683042248636e-07,-4.2568284591e-06,-3.0646971002930592e-09,1.0064122657162461e-05,2.7635466517131242e-08,-1.003648719064533e-05,1.0064122657162461e-05,1.0064122657162461e-05,5.825370602030996e-07,5.825370602033703e-07,1.5997415279300463e-08,5.665396449240698e-07,1.1354778215413484e-06,9.002550678480652e-09,0.00015928434657737928,0.9998407156534226,2.7635466517131242e-08,2.7635466517131242e-08,-3.9797596912e-06,-2.443029500081377e-09,1.0242128918618796,0.9757871081381203,0.5454229481819313,1.205669202157259
QSM-QTE-FATE,0.4736327946424991,1.011160385075721e-06,6.438632169676064e-05,6.337516131168491e-05,1.011160385075721e-06,1.011160385075721e-06,6.425891949630827e-06,6.425891949633662e-06,5.01048138425924e-06,1.4154105653744213e-06,1.2759299092719347e-05,2.8741014271690496e-07,0.00088034378218602,0.999119656217814,6.438632169676064e-05,6.438632169676064e-05,-6.6724990371e-06,1.636729963039061e-07,-4.0332790516849866e-06,9.268918710718594e-07,4.960170922756846e-06,4.0332790516849866e-06,-4.0332790516849866e-06,2.3392907683859643e-06,2.339290768387034e-06,1.3408554770630424e-07,2.2052052206807294e-06,0.0,4.7223868215770575e-06,0.00021707234592899743,0.999782927654071,9.268918710718594e-07,9.268918710718594e-07,-1.7009431085e-06,-2.301617497927772e-09,2.0775771753721246e-06,1.9967648214716625e-07,-1.8779006932249583e-06,2.0775771753721246e-06,2.0775771753721246e-06,7.288523619273625e-07,7.288523619277013e-07,1.6388486417334953e-08,7.124638755103664e-07,1.3997944412334567e-06,9.002550678480652e-09,0.00017164545813307477,0.9998283545418669,1.9967648214716625e-07,1.9967648214716625e-07,-4.1635771779e-06,-1.5519295873739614e-09,1.0238250688492432,0.9761749311507567,0.10512337145671849,1.3028152397175377
QSM-QTE-FATE,0.4980468781328949,1.2766607821333554e-05,6.454952723033129e-05,5.178291940899773e-05,1.2766607821333554e-05,1.2766607821333554e-05,6.655602113876007e-06,6.655602113878943e-06,5.27220837684672e-06,1.3833937370322228e-06,1.3251647201650519e-05,2.8741014271690496e-07,0.0008452414166863632,0.9991547585833136,6.454952723033129e-05,6.454952723033129e-05,3.6713275843e-06,2.1252153372190416e-07,-6.840225572033541e-06,1.8013246766683191e-06,8.64155024870186e-06,6.840225572033541e-06,-6.840225572033541e-06,2.5000112695123464e-06,2.5000112695134895e-06,1.3944807977922988e-07,2.3605631897342595e-06,0.0,5.052525926228988e-06,0.00020841691724209668,0.999791583082758,1.8013246766683191e-06,1.8013246766683191e-06,-2.4665461435e-06,5.122938321294012e-09,3.932762617344337e-06,-3.481606141331684e-08,-3.967578678757654e-06,3.932762617344337e-06,3.932762617344337e-06,8.203342706302207e-07,8.20334270630602e-07,1.699629869706022e-08,8.033379719335418e-07,1.5800194736599584e-06,9.002550678480652e-09,0.00016480135730602985,0.999835198642694,-3.481606141331684e-08,3.481606141331684e-08,-2.5502747273e-06,-5.585353655993804e-10,1.0241024272850276,0.9758975727149724,0.4913530848805618,1.8430051356040775
