method_order,method_key,method_name,method_stage,operator_key,operator_name,dynamic_path_enabled,response_feedback_enabled,input_mode,boundary_floor,path_manifestation,final_w12,final_w23,final_path_dominance_index,mean_path_dominance_index,edge_current_rms_1F_2F,edge_current_rms_2F_3F,edge_current_concentration_ratio_1F_2F_over_2F_3F,mean_evolved_av_next_vs_measured_av_corr,mean_evolved_abs_av_next_vs_measured_abs_av_corr,mean_one_step_av_evolution_residual_rmse,mean_target_hit_power_alignment_corr,mean_signed_hit_power_vs_signed_av_corr,mean_target_hit_peak_time_offset_seconds,work_capacity_scale,mean_manifested_work_ratio,mean_unmanifested_work_margin,max_response_floor
1,qsm,QSM,qsm,zero_diagonal,Zero-diagonal Hamiltonian H=-W,False,False,boundary_input_only,1F,near-equal / no clear final path indication,1.0,1.0,0.0,0.0,0.5559572298790223,0.5604137515369486,0.992047801027908,0.04938958023617455,0.6038727251781612,0.10993986930820042,0.6038727251781612,0.04938958023617455,1.8277994813596934,13.819037978861749,0.6728422539590846,0.32715774604091535,2F
2,qte,QTE,qte,laplacian,Laplacian topology Hamiltonian H=L(W),True,False,boundary_input_only,1F,near-equal / no clear final path indication,0.9963671373148376,1.0036328626851623,-0.0036328626851605136,-0.0171590201680772,0.4683909927728739,0.48908448755318146,0.9576893250391322,0.04634522885750103,0.6990076372960706,0.11113336926680582,0.6990076372960706,0.04634522885750103,2.337239577067543,22.207012424520688,0.49002306259928546,0.5099769374007145,2F
3,fate,FATE,fate,laplacian,Sensor-aware Laplacian evolution (Aware_power),True,True,floor_state_assimilated,1F,1F-2F lower-interface indication,1.079086390378787,0.9209136096212128,0.07908639037874757,0.20540575740071831,0.42631142284292706,0.31152975903567776,1.3684452623761558,0.7526765152748646,0.95163888066463,0.09584473674464071,0.95163888066463,0.7526765152748646,0.0032552164788596607,1.8328530930360194,0.5524213579896404,0.4475786420103596,2F
