method_order,method_key,method_name,method_stage,operator_key,operator_name,dynamic_path_enabled,response_feedback_enabled,input_mode,boundary_floor,path_manifestation,final_w12,final_w23,final_path_dominance_index,mean_path_dominance_index,edge_current_rms_1F_2F,edge_current_rms_2F_3F,edge_current_concentration_ratio_1F_2F_over_2F_3F,mean_evolved_av_next_vs_measured_av_corr,mean_evolved_abs_av_next_vs_measured_abs_av_corr,mean_one_step_av_evolution_residual_rmse,mean_target_hit_power_alignment_corr,mean_signed_hit_power_vs_signed_av_corr,mean_target_hit_peak_time_offset_seconds,work_capacity_scale,mean_manifested_work_ratio,mean_unmanifested_work_margin,max_response_floor
1,qsm,QSM,qsm,zero_diagonal,Zero-diagonal Hamiltonian H=-W,False,False,boundary_input_only,1F,near-equal / no clear final path indication,1.0,1.0,0.0,0.0,0.5585080468981957,0.5596022786566854,0.998044625975944,0.06477925602233696,0.5820019056897393,0.0711625742891584,0.5820019056897393,0.06477925602233696,0.9635416716792969,12.233512465266385,0.6767546575209802,0.3232453424790198,3F
2,qte,QTE,qte,laplacian,Laplacian topology Hamiltonian H=L(W),True,False,boundary_input_only,1F,near-equal / no clear final path indication,0.9927788153980938,1.0072211846019063,-0.007221184601902683,-0.016580430780363517,0.4706037993976322,0.4910084896632471,0.9584433045535167,-0.01593274667668704,0.6766302529812714,0.07274760383740124,0.6766302529812714,-0.01593274667668704,0.7356770929408754,15.606317931252436,0.5488587172606718,0.4511412827393282,3F
3,fate,FATE,fate,laplacian,Sensor-aware Laplacian evolution (Aware_power),True,True,floor_state_assimilated,1F,1F-2F lower-interface indication,1.5426350663126362,0.45736493368736386,0.5426350663123649,0.36786953835109554,0.5304403691605503,0.12077741737653798,4.391883687183403,0.656291182145399,0.9184283661440458,0.06499635768387341,0.9184283661440458,0.656291182145399,0.0846354012110524,1.654114507076246,0.6108156340629378,0.3891843659370622,3F
