case_id,case_name,event_name,input_scale,control_mode,source_file,method_order,method_key,method_name,method_stage,operator_key,operator_name,dynamic_path_enabled,response_feedback_enabled,input_mode,boundary_floor,target_floor_no,target_floor,evolved_av_next_vs_measured_av_corr,evolved_abs_av_next_vs_measured_abs_av_corr,one_step_av_evolution_residual_rmse,target_hit_power_alignment_corr,signed_hit_power_vs_signed_av_corr,target_hit_power_peak_time_seconds,measured_abs_a_times_v_peak_time_seconds,target_hit_power_peak_time_offset_seconds,w_hit_final,work_capacity_scale,hit_work_capacity_final,displacement_side_work_final,manifested_work_ratio,unmanifested_work_margin,measured_abs_work_final,measured_signed_work_final,max_downstream_response_envelope,downstream_response_peak_time_seconds,hidden_work_proxy_mean
el_centro_050_uncontrolled,El Centro 0.50 — uncontrolled,El Centro,0.50,uncontrolled,elcentro_0p50_07312012_unc_donghua_converted.csv,1,qsm,QSM,qsm,zero_diagonal,Zero-diagonal Hamiltonian H=-W,False,False,boundary_input_only,1F,1,1F,-0.23725629261802977,0.7497571044805521,4822.204037668834,0.7497571044805521,-0.23725629261802977,66.682,66.681,0.0010000000000047748,90113.48473871463,19.020567179925454,1714009.5902899087,220106.85383502918,0.12841634905776703,0.871583650942233,220106.85383502918,-136071.65909353073,2.3570432390157245,66.549,0.9072697086248609
el_centro_050_uncontrolled,El Centro 0.50 — uncontrolled,El Centro,0.50,uncontrolled,elcentro_0p50_07312012_unc_donghua_converted.csv,1,qsm,QSM,qsm,zero_diagonal,Zero-diagonal Hamiltonian H=-W,False,False,boundary_input_only,1F,2,2F,0.00830042488096546,0.7108221367512986,13328.675945563858,0.7108221367512986,0.00830042488096546,65.281,66.67,-1.3889999999999958,55092.471227859474,19.020567179925454,1047890.0500976113,803166.4136294897,0.7664605781443145,0.23353942185568555,803166.4136294897,-344527.58831375686,3.5732813104404504,57.542,0.9486940347918892
el_centro_050_uncontrolled,El Centro 0.50 — uncontrolled,El Centro,0.50,uncontrolled,elcentro_0p50_07312012_unc_donghua_converted.csv,1,qsm,QSM,qsm,zero_diagonal,Zero-diagonal Hamiltonian H=-W,False,False,boundary_input_only,1F,3,3F,-0.17666636106620506,0.5533848598410307,22510.071325255398,0.5533848598410307,-0.17666636106620506,69.13300000000001,66.674,2.459000000000003,74900.8769695067,19.020567179925454,1424657.1622338335,1356816.3449846033,0.9523809523809524,0.04761904761904756,1356816.3449846033,-503887.93663408485,3.6586191510728265,57.546,0.9458683024859027
el_centro_050_uncontrolled,El Centro 0.50 — uncontrolled,El Centro,0.50,uncontrolled,elcentro_0p50_07312012_unc_donghua_converted.csv,2,qte,QTE,qte,laplacian,Laplacian topology Hamiltonian H=L(W),True,False,boundary_input_only,1F,1,1F,-0.058080482819744025,0.792266959891005,3933.799736358435,0.792266959891005,-0.058080482819744025,66.682,66.681,0.0010000000000047748,48473.36262380746,28.0569539995639,1360014.9053403458,220106.85383502918,0.16184150112674472,0.8381584988732553,220106.85383502918,-136071.65909353073,2.3570432390157245,66.549,0.9072697086248609
el_centro_050_uncontrolled,El Centro 0.50 — uncontrolled,El Centro,0.50,uncontrolled,elcentro_0p50_07312012_unc_donghua_converted.csv,2,qte,QTE,qte,laplacian,Laplacian topology Hamiltonian H=L(W),True,False,boundary_input_only,1F,2,2F,0.0029404087959679745,0.7702708478511413,13497.040443054542,0.7702708478511413,0.0029404087959679745,65.976,66.67,-0.6940000000000026,120856.1420871244,28.0569539995639,3390855.219103208,803166.4136294897,0.23686249094466091,0.7631375090553391,803166.4136294897,-344527.58831375686,3.5732813104404504,57.542,0.9486940347918892
el_centro_050_uncontrolled,El Centro 0.50 — uncontrolled,El Centro,0.50,uncontrolled,elcentro_0p50_07312012_unc_donghua_converted.csv,2,qte,QTE,qte,laplacian,Laplacian topology Hamiltonian H=L(W),True,False,boundary_input_only,1F,3,3F,-0.06041607176955269,0.7326664452717171,22212.95924979569,0.7326664452717171,-0.06041607176955269,66.682,66.674,0.007999999999995566,50777.32822515151,28.0569539995639,1424657.1622338335,1356816.3449846033,0.9523809523809524,0.04761904761904756,1356816.3449846033,-503887.93663408485,3.6586191510728265,57.546,0.945868300279756
el_centro_050_uncontrolled,El Centro 0.50 — uncontrolled,El Centro,0.50,uncontrolled,elcentro_0p50_07312012_unc_donghua_converted.csv,3,fate,FATE,fate,laplacian,Sensor-aware Laplacian evolution (Aware_power),True,True,floor_state_assimilated,1F,1,1F,0.7784148298993706,0.9001267675096173,32545.81125515646,0.9001267675096173,0.7784148298993706,66.675,66.681,-0.006000000000000227,2146345.955457141,12.231488201454129,26253005.23041281,220106.85383502918,0.00838406315403641,0.9916159368459636,220106.85383502918,-136071.65909353073,2.3570432390157245,66.549,0.9072746207469959
el_centro_050_uncontrolled,El Centro 0.50 — uncontrolled,El Centro,0.50,uncontrolled,elcentro_0p50_07312012_unc_donghua_converted.csv,3,fate,FATE,fate,laplacian,Sensor-aware Laplacian evolution (Aware_power),True,True,floor_state_assimilated,1F,2,2F,0.09256571176472093,0.4767929722300559,13569.566107476854,0.4767929722300559,0.09256571176472093,66.828,66.67,0.15800000000000125,117269.10537245184,12.231488201454129,1434375.6787582256,803166.4136294897,0.5599414613086654,0.4400585386913346,803166.4136294897,-344527.58831375686,3.5732813104404504,57.542,0.9486989469140242
el_centro_050_uncontrolled,El Centro 0.50 — uncontrolled,El Centro,0.50,uncontrolled,elcentro_0p50_07312012_unc_donghua_converted.csv,3,fate,FATE,fate,laplacian,Sensor-aware Laplacian evolution (Aware_power),True,True,floor_state_assimilated,1F,3,3F,0.09656270379420051,0.4694004279547615,22101.069941611324,0.4694004279547615,0.09656270379420051,66.649,66.674,-0.025000000000005684,116474.55638836038,12.231488201454129,1424657.1622338335,1356816.3449846033,0.9523809523809524,0.04761904761904756,1356816.3449846033,-503887.93663408485,3.6586191510728265,57.546,0.9458836861840125
el_centro_050_passive_off,El Centro 0.50 — passive-off,El Centro,0.50,passive-off,elcentro_0p50_07312012_poff_donghua_converted.csv,1,qsm,QSM,qsm,zero_diagonal,Zero-diagonal Hamiltonian H=-W,False,False,boundary_input_only,1F,1,1F,-0.10268290813800404,0.5851661907017784,1323.0188075194528,0.5851661907017784,-0.10268290813800404,53.587,45.782,7.805000000000007,10077.14757492767,16.05856279845644,161824.50716128902,30885.67895233998,0.19085909479431631,0.8091409052056837,30885.67895233998,-18856.430330632622,3.577777766741197,45.66100000000001,0.9361163280800004
