00_method_chain,01_probe_key,02_probe_name,03_probe_role,04_operator_key,05_operator_name,06_dynamic_path_enabled,07_response_feedback_enabled,08_target_floor_no,09_target_floor,10_evolved_av_next_vs_measured_av_corr,11_evolved_abs_av_next_vs_measured_abs_av_corr,12_one_step_av_evolution_residual_rmse,13_target_hit_power_alignment_corr,14_signed_hit_power_vs_signed_av_corr,15_target_hit_power_peak_time_seconds,16_measured_abs_a_times_v_peak_time_seconds,17_target_hit_power_peak_time_offset_seconds,18_w_hit_final,19_work_capacity_scale,20_hit_work_capacity_final,21_displacement_side_work_final,22_manifested_work_ratio,23_unmanifested_work_margin,24_measured_abs_work_final,25_measured_signed_work_final,26_max_downstream_response_envelope,27_downstream_response_peak_time_seconds,28_hidden_work_proxy_mean,29_input_mode,30_boundary_floor
QSM-QTE-FATE,laplacian_dynamic_feedback,Laplacian floor-state field probe,floor_state_dynamic,laplacian,Laplacian field,True,True,1,1F,0.6804833741425644,0.7988307286203129,10306.62533112565,0.7988307286203129,0.6804833741425644,46.327000000000005,45.782,0.5450000000000088,303568.485920237,9.714970613634911,2949158.919940746,30885.67895233998,0.010472707572150955,0.9895272924278491,30885.67895233998,-18856.430330632622,3.577777766741197,45.66100000000001,0.9361248553373787,floor_state_assimilated,1F
QSM-QTE-FATE,laplacian_dynamic_feedback,Laplacian floor-state field probe,floor_state_dynamic,laplacian,Laplacian field,True,True,2,2F,0.053358253821896996,0.5005629788837854,4618.752438988633,0.5005629788837854,0.053358253821896996,45.946000000000005,45.963,-0.016999999999995907,17083.48281916397,9.714970613634911,165965.53356671488,116680.62425928854,0.7030412987066693,0.2969587012933307,116680.62425928854,-50512.30938387214,2.555535534875746,45.828,0.93020331559978,floor_state_assimilated,1F
QSM-QTE-FATE,laplacian_dynamic_feedback,Laplacian floor-state field probe,floor_state_dynamic,laplacian,Laplacian field,True,True,3,3F,0.04027000166457315,0.4684804035506694,6929.528881988076,0.4684804035506694,0.04027000166457315,46.293,46.315000000000005,-0.02200000000000557,20974.120835983424,9.714970613634911,203762.96756840666,194059.96911276825,0.9523809523809523,0.04761904761904767,194059.96911276825,-69033.71162846072,2.627218808445125,45.831,0.9315304382738883,floor_state_assimilated,1F
QSM-QTE-FATE,zero_diagonal_dynamic_feedback,Zero-diagonal floor-state field probe,floor_state_dynamic,zero_diagonal,Strict zero-diagonal field,True,True,1,1F,0.6950669998852612,0.7989758968887202,10293.280458132946,0.7989758968887202,0.6950669998852612,46.327000000000005,45.782,0.5450000000000088,303640.7815226427,9.73156672146492,2954900.5247453502,30885.67895233998,0.010452358275242334,0.9895476417247576,30885.67895233998,-18856.430330632622,3.577777766741197,45.66100000000001,0.9361248553373787,floor_state_assimilated,1F
QSM-QTE-FATE,zero_diagonal_dynamic_feedback,Zero-diagonal floor-state field probe,floor_state_dynamic,zero_diagonal,Strict zero-diagonal field,True,True,2,2F,0.05752027733845723,0.5006909477599917,4612.246625083058,0.5006909477599917,0.05752027733845723,45.946000000000005,45.963,-0.016999999999995907,17046.95625385544,9.73156672146492,165893.5921822879,116680.62425928854,0.7033461794659136,0.2966538205340864,116680.62425928854,-50512.30938387214,2.555535534875746,45.828,0.93020331559978,floor_state_assimilated,1F
QSM-QTE-FATE,zero_diagonal_dynamic_feedback,Zero-diagonal floor-state field probe,floor_state_dynamic,zero_diagonal,Strict zero-diagonal field,True,True,3,3F,0.042607970150325004,0.46856772937644464,6925.974836252454,0.46856772937644464,0.042607970150325004,46.293,46.315000000000005,-0.02200000000000557,20938.35179889037,9.73156672146492,203762.9675684067,194059.96911276825,0.9523809523809522,0.04761904761904778,194059.96911276825,-69033.71162846072,2.627218808445125,45.831,0.9315304382738883,floor_state_assimilated,1F
QSM-QTE-FATE,boundary_input_only_evolution,Boundary-input-only diagnostic reference,boundary_reference,laplacian,Laplacian field,True,False,1,1F,-0.053903290393957234,0.857454387025555,1241.809980197411,0.857454387025555,-0.053903290393957234,45.783,45.782,0.0010000000000047748,6677.587435116354,23.64128263438624,157866.731869412,30885.67895233998,0.19564400039578153,0.8043559996042184,30885.67895233998,-18856.430330632622,3.577777766741197,45.66100000000001,0.9361163280800004,boundary_input_only,1F
QSM-QTE-FATE,boundary_input_only_evolution,Boundary-input-only diagnostic reference,boundary_reference,laplacian,Laplacian field,True,False,2,2F,0.016003626175884512,0.6669203138858605,4518.538551587818,0.6669203138858605,0.016003626175884512,54.98,45.963,9.016999999999996,15589.114929312162,23.64128263438624,368546.6720637989,116680.62425928854,0.31659660255754535,0.6834033974424547,116680.62425928854,-50512.30938387214,2.555535534875746,45.828,0.9301947883424018,boundary_input_only,1F
QSM-QTE-FATE,boundary_input_only_evolution,Boundary-input-only diagnostic reference,boundary_reference,laplacian,Laplacian field,True,False,3,3F,0.1498634684569783,0.6872645454854396,6806.304253573825,0.6872645454854396,0.1498634684569783,45.783,46.315000000000005,-0.5320000000000036,8618.947233938716,23.64128263438624,203762.9675684067,194059.96911276825,0.9523809523809522,0.04761904761904778,194059.96911276825,-69033.71162846072,2.627218808445125,45.831,0.9315065280392062,boundary_input_only,1F
QSM-QTE-FATE,dynamic_path_no_response_feedback,Floor-state dynamic path without response feedback,floor_state_dynamic,laplacian,Laplacian field,True,False,1,1F,0.6807318882957673,0.79883080159808,10306.318300668565,0.79883080159808,0.6807318882957673,46.327000000000005,45.782,0.5450000000000088,303568.82246848947,9.714966093059054,2949160.817191239,30885.67895233998,0.010472700834861659,0.9895272991651384,30885.67895233998,-18856.430330632622,3.577777766741197,45.66100000000001,0.9361248553373787,floor_state_assimilated,1F
QSM-QTE-FATE,dynamic_path_no_response_feedback,Floor-state dynamic path without response feedback,floor_state_dynamic,laplacian,Laplacian field,True,False,2,2F,0.053343519149380444,0.5005918847247384,4618.759094541958,0.5005918847247384,0.053343519149380444,45.946000000000005,45.963,-0.016999999999995907,17083.13651122263,9.714966093059054,165962.091969627,116680.62425928854,0.7030558778485538,0.29694412215144617,116680.62425928854,-50512.30938387214,2.555535534875746,45.828,0.93020331559978,floor_state_assimilated,1F
QSM-QTE-FATE,dynamic_path_no_response_feedback,Floor-state dynamic path without response feedback,floor_state_dynamic,laplacian,Laplacian field,True,False,3,3F,0.04026946606246211,0.46848009673261387,6929.529701107366,0.46848009673261387,0.04026946606246211,46.293,46.315000000000005,-0.02200000000000557,20974.130595678245,9.714966093059054,203762.96756840666,194059.96911276825,0.9523809523809523,0.04761904761904767,194059.96911276825,-69033.71162846072,2.627218808445125,45.831,0.9315304382738883,floor_state_assimilated,1F
QSM-QTE-FATE,fixed_path_reference,Fixed-path reference,fixed_reference,laplacian,Fixed-path reference,False,False,1,1F,0.6841243838465952,0.798825820061585,10301.868239082787,0.798825820061585,0.6841243838465952,46.327000000000005,45.782,0.5450000000000088,303577.1023658983,9.714695795725223,2949159.200032438,30885.67895233998,0.010472706577522252,0.9895272934224777,30885.67895233998,-18856.430330632622,3.577777766741197,45.66100000000001,0.9361248553373787,floor_state_assimilated,1F
QSM-QTE-FATE,fixed_path_reference,Fixed-path reference,fixed_reference,laplacian,Fixed-path reference,False,False,2,2F,0.05268943668424817,0.5015841009022235,4619.259456147284,0.5015841009022235,0.05268943668424817,45.946000000000005,45.963,-0.016999999999995907,17074.27303902317,9.714695795725223,165871.36850726293,116680.62425928854,0.7034404147583765,0.2965595852416235,116680.62425928854,-50512.30938387214,2.555535534875746,45.828,0.93020331559978,floor_state_assimilated,1F
QSM-QTE-FATE,fixed_path_reference,Fixed-path reference,fixed_reference,laplacian,Fixed-path reference,False,False,3,3F,0.04058943297953927,0.4684691637537134,6929.117650256812,0.4684691637537134,0.04058943297953927,46.293,46.315000000000005,-0.02200000000000557,20974.71417047036,9.714695795725223,203762.9675684067,194059.96911276825,0.9523809523809522,0.04761904761904778,194059.96911276825,-69033.71162846072,2.627218808445125,45.831,0.9315304382738883,floor_state_assimilated,1F
